name,category,shortDescription,description,sku,image,availability,tags,materials,useCases,features,imageFit,id,url
Lámina de secado de Silicona,cocina,Con rendijas especiales para escurrir el agua de manera sencilla,Falta espacio para escurrir tu vajilla? Con esta lámina de silicona es sencillo agrandar tu espacio de secado y liberarlo cuando lo necesites,BV-COC-07,images/cocina/lamina-secado-silicona-1.jpeg,in_stock,cocina|silicona|lavado,silicona alimentaria,cocina diaria,,,lamina-secado-silicona,cocina.html#lamina-secado-silicona
Tablas de corte · Acacia,cocina,Tablas de Acacia especiales para cuidar los filos de tus cuchillos,Tablas de madera de acacia con canaleta perimetral para retener jugos. Buen grosor e indispensables en cualquier cocina que quiera cuidar sus cuchillos. La madera que no destruye filos.,BV-COC-08,images/cocina/tablas_corte_acacia-1.jpeg,pre_order,tablas|acacia|corte|cuchillos|madera,acacia,corte diario|cuidado de cuchillos|presentación,Canaleta perimetral para retener jugos|Madera de acacia — dura y bella|Cuida el filo de los cuchillos,cover,tablas_corte_acacia,cocina.html#tablas_corte_acacia
Contenedores de Vidrio y Acacia,cocina,Contenedores transparentes con tapa de acacia para ordenar cualquier cocina,A quien le gustan los juegos de todos colores de contenedores para organizar? Con estos hermosos contenedores podrás tener la cocina que querés. Fácil identificación y hermosa visual.,BV-COC-09,images/cocina/Containers_Vidrio_Acacia_1.jpeg,in_stock,contenedores|vidrio|acacia|organización|cocina,vidrio|acacia,organización|almacenamiento|despensa,,cover,Containers-Vidrio-Acacia,cocina.html#Containers-Vidrio-Acacia
Juego de Bowls · Cerámica Blanca,cocina,"Nueve tamaños, una sola columna. Para prep, servicio y cereal.","Juego de nueve bowls apilables de cerámica blanca mate. Desde el bowl de mise en place hasta el de ensalada — todos apilados en el espacio de uno. Peso real, borde limpio, lavables sin drama.",BV-COC-10,images/cocina/bowls_ceramica_blanca_1.jpeg,in_stock,bowls|cerámica|blanco|vajilla|apilable,cerámica,prep|servicio|desayuno|ensaladas|mise en place,,contain,bowls_ceramica_blanca,cocina.html#bowls_ceramica_blanca
Colador para Bacha · Extensible,cocina,"Se apoya en la bacha, no ocupa mesada, escurre solo.","Colador de acero inoxidable con brazos extensibles de goma que se apoyan en el borde de la bacha. Las manos quedan libres. La mesada, limpia. Apto para pasta, verduras y frutos del mar.",BV-COC-11,images/cocina/colador_para_bacha_1.jpeg,in_stock,colador|bacha|acero|escurridor|extensible,acero inoxidable|goma antideslizante,pasta|verduras|lavado de alimentos|mariscos,Brazos extensibles — se adapta al ancho de la bacha|Apoyos de goma — no raya ni resbala|Manos libres mientras escurre,cover,colador_para_bacha,cocina.html#colador_para_bacha
Set Coladores Mesh · Con Apoyo,cocina,"Dos tamaños, malla fina, apoyo propio. Para escurrir sin sostener.","Set de dos coladores de malla de acero inoxidable con base de apoyo integrada. Se paran solos. Malla fina que retiene hasta lo pequeño. Aptos para pasta, legumbres, frutas y arroz.",BV-COC-12,images/cocina/coladores_mesh_apoyo_1.jpeg,in_stock,colador|mesh|acero|escurridor|cocina,acero inoxidable,pasta|legumbres|arroz|frutas,,contain,coladores_mesh_apoyo,cocina.html#coladores_mesh_apoyo
Juego de Bowls · Acero Inoxidable,cocina,"Cuatro tamaños, acero pulido. El set que usa toda cocina seria.","Cuatro bowls de acero inoxidable pulido en escalera de tamaños. Para batir, marinar, preparar o servir. Apilables, lavables en lavavajillas, indeformables. El set de prep que dura décadas.",BV-COC-13,images/cocina/juego_bowls_acero_1.jpeg,in_stock,bowls|acero|prep|cocina|batir,acero inoxidable,prep|batir|marinar|servicio,,contain,juego_bowls_acero,cocina.html#juego_bowls_acero
Juego de Bowls · Vidrio,cocina,"Nueve bowls de vidrio que se apilan en uno. Para todo, sin ocupar nada.","Juego de nueve bowls de vidrio transparente en tamaños escalonados — desde el mini mise en place hasta el bol de ensalada. Se anidan entre sí y ocupan el lugar de uno. Vidrio resistente, apto microondas y lavavajillas.",BV-COC-14,images/cocina/juego_bowls_vidrio_1.jpeg,in_stock,bowls|vidrio|prep|transparente|apilable,vidrio templado,prep|servicio|mise en place|microondas,,contain,juego_bowls_vidrio,cocina.html#juego_bowls_vidrio
Set Tamices · Malla Fina,cocina,"Tres tamaños para cernir, colar y no perder nada.","Set de tres tamices de malla fina de acero inoxidable con mango largo. Para cernir harina, colar infusiones o escurrir frutas pequeñas. Malla que no se deforma, mango que da buen agarre. Tres diámetros para cada tarea.",BV-COC-15,images/cocina/juego_coladores_mango_1.jpeg,in_stock,tamiz|colador|malla|repostería|cocina,acero inoxidable,repostería|infusiones|frutas pequeñas|cernir harina,,cover,juego_coladores_mango,cocina.html#juego_coladores_mango
Juego Contenedores · Vidrio y Silicona,cocina,"Vidrio al horno, tapa que sella. Cocinar y guardar sin cambiar de recipiente.","Set de contenedores redondos de vidrio borosilicato con tapa hermética de silicona gris. Van del freezer al microondas sin drama. La tapa sella bien — no el tipo que se suelta al primer apilado. Para prep semanal, porciones y sobras que se ven.",BV-COC-16,images/cocina/juego_contenedores_pyrex_1.jpeg,in_stock,contenedores|vidrio|hermético|prep|silicona,vidrio borosilicato|silicona alimentaria,prep semanal|freezer|microondas|almacenamiento,"Tapa hermética de silicona — sella de verdad|Vidrio apto microondas, horno y freezer|Transparentes — se ve lo que hay adentro",cover,juego_contenedores_pyrex,cocina.html#juego_contenedores_pyrex
Vajilla Drift · Gris,cocina,"Piedra, gris, mate. La vajilla que no necesita anunciarse.","Juego de vajilla de gres con acabado mate en tonos gris piedra. El esmalte reactivo hace que cada pieza sea única — sin uniformidad industrial. Taza, plato plano, plato hondo y bowl. Para la mesa de todos los días con cara de mesa especial.",BV-COC-17,images/cocina/juego_drift_gray_1.jpeg,in_stock,vajilla|gres|mate|gris|artesanal,gres|esmalte reactivo,mesa diaria|desayuno|almuerzo|cena,"Esmalte reactivo — cada pieza es única|Acabado mate resistente al uso real|Set completo: taza, plato plano, hondo y bowl",contain,juego_drift_gray,cocina.html#juego_drift_gray
Platos Drift · Verde Salvia,cocina,Gres mate en verde salvia. Seis platos que cambian la mesa.,"Set de seis platos de gres con esmalte reactivo en verde salvia. Bordes ligeramente irregulares — no es un accidente, es el carácter del material. Apilables, resistentes al lavavajillas. Dos tamaños: plato principal y entrada.",BV-COC-18,images/cocina/juego_drift_green_1.jpeg,in_stock,platos|gres|verde|mate|vajilla,gres|esmalte reactivo,mesa diaria|almuerzo|cena|servicio,,contain,juego_drift_green,cocina.html#juego_drift_green
Vajilla Frank · Blanca,cocina,Blanco. Sin ornamentos. Lo que tiene que ser.,"Vajilla de cerámica blanca brillante con borde liso y pared recta. Sin adornos porque no los necesita. Platos en dos tamaños, bowls profundos. La base de cualquier mesa bien montada.",BV-COC-19,images/cocina/juego_frank_1.jpeg,in_stock,vajilla|cerámica|blanco|minimalista|bowls,cerámica esmaltada,mesa diaria|servicio|desayuno|almuerzo|cena,,contain,juego_frank,cocina.html#juego_frank
Platos Prado · Reactivo,cocina,"Exterior piedra, interior ámbar. Tres platos que no son todos iguales.","Set de tres platos hondos de gres con esmalte reactivo bicolor — exterior gris piedra, interior ámbar cálido. El esmalte reacciona diferente en cada horneada: no hay dos iguales. Paredes rectas, profundidad real para sopa, pasta o ensalada generosa.",BV-COC-20,images/cocina/plato_prado_1.jpeg,in_stock,platos|gres|reactivo|ámbar|artesanal,gres|esmalte reactivo,sopa|pasta|ensalada|servicio,Esmalte bicolor reactivo — cada pieza es única|Profundidad real para platos con cuerpo|Apilables,contain,plato_prado,cocina.html#plato_prado
Platos Selene · Lino,cocina,"Lino mate, forma orgánica suave. Seis platos que elevan cualquier mesa.","Set de seis platos de cerámica en tono lino mate con borde orgánico suave. Dos tamaños — plato principal y entrada. El color neutro que va con todo sin esfuerzo. Superficie mate que no refleja, lavable en lavavajillas.",BV-COC-21,images/cocina/platos_selene_1.jpeg,in_stock,platos|cerámica|lino|mate|vajilla,cerámica,mesa diaria|almuerzo|cena|servicio,,contain,platos_selene,cocina.html#platos_selene
Salero de Acacia · Magnético,cocina,"Madera de acacia, tapa giratoria. El sal siempre a mano, nunca volcado.","Salero cilíndrico de madera de acacia con tapa giratoria de cierre magnético. Se abre con un giro y se cierra solo. Para sal en escamas o gruesa — no el tipo de salero que deja caer todo de golpe. Presencia en la mesa, funcionalidad real.",BV-COC-22,images/cocina/salero_acacia-1.jpeg,in_stock,salero|acacia|madera|mesa|magnético,acacia,mesa|cocción|condimentar,Tapa giratoria de cierre magnético|Para sal en escamas o gruesa|Madera de acacia — durable y bella,cover,salero_acacia,cocina.html#salero_acacia
Vajilla Contact · Blanco y Negro,cocina,"Blanco puro, borde negro fino. La vajilla que no pasa de moda.","Juego de vajilla de cerámica blanca con filete negro en el borde. Cuatro piezas — taza, plato principal, plato de entrada y bowl. El contraste que da carácter sin sobrecargar. Una línea que dura temporadas enteras sin volverse cansadora.",BV-COC-23,images/cocina/set_contact_blanco_1.jpeg,in_stock,vajilla|cerámica|blanco|negro|minimalista,cerámica esmaltada,mesa diaria|desayuno|almuerzo|cena|servicio,"Filete negro en el borde — detalle que da carácter|Set completo: taza, plato plano, hondo y bowl|Cerámica resistente al lavavajillas",contain,set_contact_blanco,cocina.html#set_contact_blanco
Tarros de Vidrio · Herméticos,cocina,Vidrio con tapa de vidrio. Para ver lo que hay sin abrir ninguno.,"Set de tres tarros de vidrio con tapa hermética de vidrio en distintos tamaños. Para harina, azúcar, legumbres o lo que haya que guardar. Transparentes porque no hay nada que ocultar. Se limpian solos casi.",BV-COC-24,images/cocina/tarros_vidrio_1.jpeg,in_stock,tarros|vidrio|almacenamiento|despensa|hermético,vidrio,almacenamiento de secos|despensa|cocina,,cover,tarros_vidrio,cocina.html#tarros_vidrio
Vaso Medidor de Vidrio · 1L,cocina,"Tazas, mililitros, litros. Un vaso que mide todo lo que necesitás.","Jarra medidora de vidrio con escala en cups, ml y litros. Capacidad 1 litro / 4 cups. Graduación en rojo legible desde arriba. Pico vertedor y asa firme. Para repostería y cocina que mide.",BV-COC-25,images/cocina/vaso_medidor_vidrio.jpeg,in_stock,medidor|vidrio|repostería|cocina|cups,vidrio,repostería|cocina|medición de líquidos,"Escala en cups, ml y litros|Capacidad 1L — suficiente para cualquier receta|Pico vertedor y asa integrada",contain,vaso_medidor_vidrio,cocina.html#vaso_medidor_vidrio